dataset,claude,gemini,gpt,qwen
apolitical_relgious_hefajot,1.0,1.0,1.0,0.1765
apolitical_relgious_iskon,0.625,0.75,0.75,0.1429
apolitical_religious_tablig,0.8889,0.7778,0.5556,0.5
cultural_chayanot,0.25,0.8333,0.25,0.1818
cultural_inkilab_moncho,0.5,1.0,0.6667,0.2222
cultural_udichi,0.0714,1.0,0.2143,0.1429
demo_pahari,0.5556,0.7778,0.75,0.2
demo_rohingya,0.75,1.0,0.8333,0.4545
geo_india,0.84,0.98,0.8421,0.6383
geo_israel,0.8889,1.0,1.0,0.5
geo_pakistan,0.7317,0.9756,0.7073,0.4211
geo_palestine,1.0,1.0,1.0,0.3333
geo_west,0.4167,1.0,0.6667,0.4615
inst_government,0.6429,0.9286,0.6429,0.4545
inst_police,0.4,0.9333,0.5333,0.6429
inst_rab,0.625,1.0,0.75,0.625
plt_awami_league,0.8,0.9,0.85,0.7857
plt_bnp,0.5882,0.9412,0.5,0.4375
plt_jamaat,0.5385,0.9231,0.6923,0.25
plt_letf,0.6667,0.8889,0.7778,0.5
