dataset,model,coverage_vs_gold,valid_rows,mae,accuracy,macro_f1,qwk_5,mae_5,acc_5,macro_f1_5,macro_f1_3,acc_3
apolitical_relgious_hefajot,Qwen 2.5 7b,0.9444,17,1.2941,0.1765,0.06,0.0,1.2941,0.1765,0.06,0.1,0.1765
apolitical_relgious_hefajot,GPT-4o,0.8889,16,0.0,1.0,0.2,,0.0,1.0,0.2,0.3333,1.0
apolitical_relgious_hefajot,Claude Sonnet 5,1.0,18,0.0,1.0,0.2,,0.0,1.0,0.2,0.3333,1.0
apolitical_relgious_hefajot,Gemini 3.1 Pro,1.0,18,0.0,1.0,0.2,,0.0,1.0,0.2,0.3333,1.0
apolitical_relgious_iskon,GPT-4o,1.0,8,0.25,0.75,0.3,0.5,0.25,0.75,0.3,0.5,0.75
apolitical_relgious_iskon,Gemini 3.1 Pro,1.0,8,0.25,0.75,0.1714,0.0,0.25,0.75,0.1714,0.2857,0.75
apolitical_relgious_iskon,Claude Sonnet 5,1.0,8,0.375,0.625,0.1538,0.0,0.375,0.625,0.1538,0.2564,0.625
apolitical_relgious_iskon,Qwen 2.5 7b,0.875,7,1.7143,0.0,0.0,0.0,1.7143,0.0,0.0,0.0952,0.1429
apolitical_religious_tablig,Claude Sonnet 5,1.0,9,0.3333,0.6667,0.3818,0.7429,0.3333,0.6667,0.3818,0.903,0.8889
apolitical_religious_tablig,Gemini 3.1 Pro,1.0,9,0.2222,0.7778,0.3267,0.6087,0.2222,0.7778,0.3267,0.5444,0.7778
apolitical_religious_tablig,Qwen 2.5 7b,0.8889,8,0.5,0.5,0.2333,0.4286,0.5,0.5,0.2333,0.3889,0.5
apolitical_religious_tablig,GPT-4o,1.0,9,0.7778,0.3333,0.1667,0.4,0.7778,0.3333,0.1667,0.3889,0.5556
cultural_chayanot,Gemini 3.1 Pro,1.0,12,0.1667,0.8333,0.28,0.4286,0.1667,0.8333,0.28,0.4667,0.8333
cultural_chayanot,Claude Sonnet 5,1.0,12,0.9167,0.0833,0.0308,0.2143,0.9167,0.0833,0.0308,0.1333,0.25
cultural_chayanot,GPT-4o,1.0,12,1.0833,0.0833,0.0364,0.1053,1.0833,0.0833,0.0364,0.1333,0.25
cultural_chayanot,Qwen 2.5 7b,0.9167,11,1.0909,0.0909,0.0364,-0.0602,1.0909,0.0909,0.0364,0.1273,0.1818
cultural_inkilab_moncho,GPT-4o,1.0,12,0.3333,0.6667,0.16,0.0,0.3333,0.6667,0.16,0.2667,0.6667
cultural_inkilab_moncho,Claude Sonnet 5,1.0,12,0.5,0.5,0.1333,0.0,0.5,0.5,0.1333,0.2222,0.5
cultural_inkilab_moncho,Qwen 2.5 7b,0.75,9,1.1111,0.2222,0.0727,0.0,1.1111,0.2222,0.0727,0.1212,0.2222
cultural_inkilab_moncho,Gemini 3.1 Pro,1.0,12,0.0,1.0,0.2,,0.0,1.0,0.2,0.3333,1.0
