category,model,avg_macro_f1,avg_accuracy,avg_mae,avg_coverage
apolitical,gemini,0.2238,0.8426,0.1574,1.0
apolitical,claude,0.16643333333333332,0.6898,0.3102,1.0
apolitical,qwen,0.12713333333333335,0.30883333333333335,1.0861333333333334,0.9027666666666666
cultural,gemini,0.22666666666666668,0.9444333333333333,0.05556666666666666,1.0
cultural,qwen,0.05303333333333334,0.152,1.1863666666666666,0.8889
demo,gemini,0.40715,0.8083499999999999,0.19165,1.0
demo,qwen,0.19445,0.26515,1.32575,0.75835
geo,gemini,0.45294285714285715,0.7064428571428572,0.7364142857142857,1.0
geo,qwen,0.23077142857142857,0.3880571428571429,1.1122285714285713,0.6869285714285713
inst,gemini,0.42973333333333336,0.8825333333333334,0.11746666666666666,1.0
inst,qwen,0.25733333333333336,0.44803333333333334,0.6477333333333334,0.9063333333333333
plt,gemini,0.520375,0.8883000000000001,0.1367,1.0
plt,qwen,0.182225,0.31472500000000003,0.85715,0.786375
