dataset,claude,gemini,qwen
apolitical_relgious_hefajot,0.2,0.2,0.06
apolitical_relgious_iskon,0.1538,0.1714,0.0
apolitical_religious_tablig,0.1455,0.3,0.3214
cultural_chayanot,,0.28,0.0364
cultural_inkilab_moncho,,0.2,0.0727
cultural_udichi,,0.2,0.05
demo_pahari,,0.281,0.1
demo_rohingya,,0.5333,0.2889
geo_india,,0.7613,0.3236
geo_israel_palestine,,0.3288,0.208325
geo_pakistan,,0.5608,0.3322
geo_west,,0.5333,0.1263
inst_government,,0.3179,0.1689
inst_polish,,0.3713,0.2831
inst_rab,,0.6,0.32
plt_awami_league,,0.4673,0.3467
plt_bnp,,0.5526,0.2655
plt_jamaat,,0.5238,0.05
plt_letf,,0.5378,0.0667
