dataset,claude,gemini,qwen
apolitical_relgious_hefajot,0.0,0.0,1.2941
apolitical_relgious_iskon,0.375,0.25,1.7143
apolitical_religious_tablig,0.5556,0.2222,0.25
cultural_chayanot,,0.1667,1.0909
cultural_inkilab_moncho,,0.0,1.1111
cultural_udichi,,0.0,1.3571
demo_pahari,,0.3,1.8333
demo_rohingya,,0.0833,0.8182
geo_india,,0.04,0.5319
geo_israel_palestine,,1.25,1.4166750000000001
geo_pakistan,,0.0732,0.8947
geo_west,,0.0417,0.6923
inst_government,,0.2857,0.8182
inst_polish,,0.0667,0.5
inst_rab,,0.0,0.625
plt_awami_league,,0.3,0.4286
plt_bnp,,0.0588,0.875
plt_jamaat,,0.0769,1.25
plt_letf,,0.1111,0.875
